date,action,symbol,price,reason,pnl
2022-04-22,BUY,MPC,79.69,momentum=58.3%,0.0
2022-04-22,BUY,COST,545.14,momentum=52.5%,0.0
2022-04-25,SELL,APA,34.36,trailing_stop,1105.58
2022-04-25,BUY,CF,86.58,momentum=128.2%,0.0
2022-04-29,SELL,COST,507.84,below_50ma,-484.87
2022-04-29,BUY,APA,35.99,momentum=103.5%,0.0
2022-05-02,SELL,CF,88.4,below_50ma,698.67
2022-05-02,BUY,VST,23.07,momentum=48.5%,0.0
2022-05-09,SELL,TRGP,62.19,trailing_stop,4259.0
2022-05-09,SELL,APA,33.0,trailing_stop,-663.63
2022-05-09,BUY,DVN,51.41,momentum=158.5%,0.0
2022-05-09,BUY,DLTR,161.53,momentum=44.4%,0.0
2022-05-10,SELL,DLTR,157.89,below_50ma,-182.0
2022-05-10,BUY,EOG,100.72,momentum=58.6%,0.0
2022-05-12,SELL,VST,21.87,trailing_stop,-1687.4
2022-05-12,BUY,WMB,29.0,momentum=43.7%,0.0
2022-05-18,SELL,HSY,187.74,below_50ma,880.01
2022-05-18,BUY,CF,93.52,momentum=106.8%,0.0
2022-05-19,SELL,CF,92.36,below_50ma,-398.95
2022-05-19,BUY,VST,24.37,momentum=59.2%,0.0
2022-06-10,SELL,WMB,29.56,below_50ma,583.23
2022-06-10,BUY,APA,42.91,momentum=71.4%,0.0
2022-06-13,SELL,MPC,94.07,trailing_stop,2472.5
2022-06-13,SELL,VST,21.96,trailing_stop,-3148.07
2022-06-13,BUY,NOC,433.77,momentum=22.3%,0.0
2022-06-13,BUY,PGR,103.48,momentum=17.2%,0.0
2022-06-14,SELL,NOC,427.91,below_50ma,-292.83
2022-06-14,SELL,PGR,102.45,below_50ma,-116.38
2022-06-14,BUY,MPC,94.53,momentum=56.5%,0.0
2022-06-14,BUY,CHRW,97.22,momentum=12.6%,0.0
2022-06-15,SELL,DVN,57.69,trailing_stop,1883.94
2022-06-15,SELL,EOG,108.85,trailing_stop,1292.89
2022-06-15,SELL,CHRW,94.28,below_50ma,-346.24
2022-06-15,BUY,NOC,431.67,momentum=26.1%,0.0
2022-06-15,BUY,ULTA,405.61,momentum=19.7%,0.0
2022-06-15,BUY,PSX,89.32,momentum=16.8%,0.0
2022-06-16,SELL,APA,36.72,trailing_stop,-4444.3
2022-06-16,SELL,MPC,84.68,trailing_stop,-2273.51
2022-06-16,SELL,NOC,422.79,below_50ma,-372.92
2022-06-16,SELL,ULTA,390.47,below_50ma,-469.34
2022-06-16,BUY,IBM,118.0,momentum=2.0%,0.0
2022-06-17,SELL,PSX,78.97,trailing_stop,-1014.93
2022-06-21,BUY,VRTX,270.17,momentum=36.9%,0.0
2022-06-21,BUY,MRK,78.59,momentum=26.2%,0.0
2022-06-21,BUY,NOC,436.68,momentum=20.5%,0.0
2022-06-21,BUY,BMY,65.22,momentum=19.2%,0.0
2022-06-23,SELL,NOC,429.59,below_50ma,-28.36
2022-06-23,BUY,HSY,198.02,momentum=26.2%,0.0
2022-06-30,SELL,HSY,195.34,below_50ma,-77.67
2022-06-30,BUY,WRB,41.87,momentum=42.1%,0.0
2022-07-07,SELL,BMY,64.53,below_50ma,-14.47
2022-07-07,SELL,WRB,41.43,below_50ma,-59.66
2022-07-07,BUY,DLTR,168.79,momentum=64.8%,0.0
2022-07-07,BUY,PANW,86.21,momentum=36.3%,0.0
2022-07-12,SELL,PANW,82.1,below_50ma,-86.35
2022-07-12,BUY,NOC,441.49,momentum=28.3%,0.0
2022-07-14,SELL,NOC,432.18,below_50ma,-74.5
2022-07-14,BUY,ABBV,132.36,momentum=21.1%,0.0
2022-07-19,SELL,IBM,113.83,below_50ma,-3178.72
2022-07-19,BUY,PANW,85.6,momentum=18.5%,0.0
2022-07-20,SELL,MRK,80.04,below_50ma,41.94
2022-07-20,SELL,ABBV,129.94,below_50ma,-65.33
2022-07-20,BUY,HSY,195.54,momentum=23.1%,0.0
2022-07-20,BUY,GIS,64.38,momentum=17.7%,0.0
2022-07-26,SELL,PANW,77.54,below_50ma,-7789.18
2022-07-26,BUY,ABBV,132.74,momentum=33.9%,0.0
2022-07-29,SELL,ABBV,126.27,below_50ma,-3606.93
2022-07-29,BUY,DVN,52.97,momentum=128.6%,0.0
2022-08-01,SELL,VRTX,273.83,below_50ma,36.6
2022-08-01,SELL,DVN,51.89,below_50ma,-1435.74
2022-08-01,BUY,CF,86.92,momentum=89.1%,0.0
2022-08-01,BUY,TRGP,63.29,momentum=48.7%,0.0
2022-08-04,SELL,TRGP,59.14,below_50ma,-1234.9
2022-08-04,BUY,CI,261.8,momentum=36.3%,0.0
2022-08-25,SELL,DLTR,149.01,trailing_stop,-395.6
2022-08-25,BUY,DVN,62.13,momentum=122.4%,0.0
2022-08-30,SELL,CF,97.95,trailing_stop,4541.37
2022-08-30,BUY,APA,34.69,momentum=86.8%,0.0
2022-09-06,SELL,HSY,203.14,below_50ma,182.5
2022-09-06,SELL,GIS,66.05,below_50ma,66.66
2022-09-06,BUY,CF,95.1,momentum=118.1%,0.0
2022-09-06,BUY,EOG,103.53,momentum=70.0%,0.0
2022-09-20,SELL,DVN,56.14,trailing_stop,-460.82
2022-09-20,BUY,MPC,90.03,momentum=78.6%,0.0
2022-09-22,SELL,APA,32.74,trailing_stop,-2170.38
2022-09-22,BUY,DVN,54.42,momentum=132.7%,0.0
2022-09-23,SELL,CI,260.63,below_50ma,-161.68
2022-09-23,SELL,CF,86.66,trailing_stop,-396.51
2022-09-23,SELL,EOG,95.06,trailing_stop,-194.79
2022-09-23,SELL,MPC,84.71,below_50ma,-394.13
2022-09-23,SELL,DVN,49.74,below_50ma,-3005.41
2022-09-23,BUY,NOC,452.43,momentum=40.7%,0.0
2022-09-23,BUY,PGR,110.86,momentum=40.7%,0.0
2022-09-23,BUY,ABBV,125.87,momentum=35.5%,0.0
2022-09-23,BUY,FSLR,129.85,momentum=33.5%,0.0
2022-09-23,BUY,GIS,69.44,momentum=32.6%,0.0
2022-09-26,SELL,NOC,448.23,below_50ma,-142.97
2022-09-26,SELL,PGR,108.44,below_50ma,-277.99
2022-09-26,SELL,ABBV,124.24,below_50ma,-133.47
2022-09-26,BUY,ERIE,204.44,momentum=21.9%,0.0
2022-09-26,BUY,HUBB,209.44,momentum=15.8%,0.0
2022-09-26,BUY,LVS,37.67,momentum=0.1%,0.0
2022-09-30,SELL,LVS,35.64,below_50ma,-536.64
2022-09-30,BUY,VRTX,289.54,momentum=60.9%,0.0
2022-10-06,SELL,GIS,66.22,below_50ma,-312.7
2022-10-06,BUY,DVN,62.28,momentum=89.0%,0.0
2022-10-12,SELL,FSLR,126.88,trailing_stop,-190.08
2022-10-12,BUY,APA,35.96,momentum=71.8%,0.0
2022-10-14,SELL,HUBB,207.32,below_50ma,-146.56
2022-10-14,BUY,TPL,214.76,momentum=48.0%,0.0
2022-10-20,SELL,VRTX,290.16,below_50ma,62.62
2022-10-20,BUY,CF,96.49,momentum=72.1%,0.0
2022-11-02,SELL,DVN,58.14,trailing_stop,-509.0
2022-11-02,SELL,CF,95.33,below_50ma,-341.89
2022-11-02,BUY,MPC,106.27,momentum=73.8%,0.0
2022-11-02,BUY,VRTX,310.01,momentum=59.7%,0.0
2022-12-05,SELL,MPC,104.81,trailing_stop,-239.39
2022-12-05,BUY,EOG,117.55,momentum=76.7%,0.0
2022-12-06,SELL,APA,38.94,trailing_stop,674.67
2022-12-06,SELL,EOG,111.98,below_50ma,-1240.88
2022-12-06,BUY,CI,310.37,momentum=58.0%,0.0
2022-12-06,BUY,PSX,91.72,momentum=50.2%,0.0
2022-12-07,SELL,TPL,261.47,trailing_stop,3036.19
2022-12-07,BUY,NOC,512.14,momentum=50.2%,0.0
2022-12-09,SELL,PSX,87.2,below_50ma,-438.47
2022-12-09,BUY,TPL,255.28,momentum=115.6%,0.0
2022-12-13,SELL,VRTX,307.09,below_50ma,-84.68
2022-12-13,BUY,APA,40.68,momentum=92.3%,0.0
2022-12-16,SELL,APA,38.87,below_50ma,-398.38
2022-12-16,BUY,FSLR,155.08,momentum=77.1%,0.0
2022-12-27,SELL,FSLR,150.22,below_50ma,-267.3
2022-12-27,BUY,MPC,108.89,momentum=94.3%,0.0
2022-12-28,SELL,ERIE,238.21,trailing_stop,3478.51
2022-12-28,SELL,TPL,251.2,trailing_stop,-155.04
2022-12-28,SELL,MPC,106.74,below_50ma,-162.93
2022-12-28,BUY,MRK,100.63,momentum=45.0%,0.0
2022-12-28,BUY,TRGP,66.9,momentum=45.0%,0.0
2022-12-28,BUY,LMT,443.0,momentum=39.4%,0.0
2023-01-03,SELL,CI,302.68,below_50ma,-407.19
2023-01-03,SELL,TRGP,65.69,below_50ma,-166.8
2023-01-03,SELL,LMT,437.78,below_50ma,-73.03
2023-01-03,BUY,ACGL,59.39,momentum=36.0%,0.0
2023-01-03,BUY,GIS,73.51,momentum=32.4%,0.0
2023-01-03,BUY,PGR,118.81,momentum=30.4%,0.0
2023-01-04,SELL,NOC,499.09,below_50ma,-639.2
2023-01-04,BUY,GILD,76.5,momentum=26.4%,0.0
2023-01-12,SELL,GIS,73.36,below_50ma,-19.62
2023-01-12,BUY,FSLR,178.85,momentum=86.7%,0.0
2023-01-18,SELL,PGR,117.16,below_50ma,-92.65
2023-01-18,SELL,GILD,74.93,below_50ma,-759.04
2023-01-18,BUY,MPC,113.07,momentum=51.0%,0.0
2023-01-18,BUY,VRTX,309.86,momentum=31.9%,0.0
2023-01-24,SELL,MRK,98.31,below_50ma,-310.77
2023-01-24,BUY,DVN,56.35,momentum=34.4%,0.0
2023-01-30,SELL,DVN,54.91,below_50ma,-614.52
2023-01-30,BUY,DECK,70.06,momentum=31.1%,0.0
2023-02-02,SELL,ACGL,58.34,below_50ma,-253.32
2023-02-02,SELL,MPC,111.76,trailing_stop,-237.88
2023-02-02,SELL,VRTX,303.78,below_50ma,-206.72
2023-02-02,BUY,FIX,120.47,momentum=32.6%,0.0
2023-02-02,BUY,ULTA,520.83,momentum=30.1%,0.0
2023-02-02,BUY,TMUS,141.29,momentum=27.7%,0.0
2023-02-03,SELL,TMUS,139.6,below_50ma,-81.22
2023-02-03,BUY,HUBB,230.8,momentum=23.6%,0.0
2023-02-09,SELL,FIX,117.32,below_50ma,-378.06
2023-02-09,BUY,MPC,112.54,momentum=51.2%,0.0
2023-02-21,SELL,FSLR,160.99,trailing_stop,-1107.32
2023-02-21,SELL,DECK,66.58,below_50ma,-1168.72
2023-02-21,BUY,JBL,82.1,momentum=36.6%,0.0
2023-02-21,BUY,CDNS,192.65,momentum=35.9%,0.0
2023-03-13,SELL,HUBB,227.75,below_50ma,-268.43
2023-03-13,BUY,FSLR,203.58,momentum=116.7%,0.0
2023-03-15,SELL,MPC,115.03,below_50ma,318.49
2023-03-15,BUY,MNST,51.17,momentum=38.9%,0.0
2023-03-16,SELL,JBL,77.82,below_50ma,-817.41
2023-03-16,BUY,MPC,117.34,momentum=74.0%,0.0
2023-03-17,SELL,ULTA,506.46,below_50ma,-273.03
2023-03-17,SELL,MPC,115.94,below_50ma,-178.6
2023-03-17,BUY,FIX,132.92,momentum=36.7%,0.0
2023-03-17,BUY,GWW,646.14,momentum=36.2%,0.0
2023-03-22,SELL,MNST,51.17,below_50ma,0.0
2023-03-22,BUY,MPC,119.05,momentum=58.7%,0.0
2023-03-24,SELL,MPC,116.91,below_50ma,-389.05
2023-03-24,BUY,DECK,73.79,momentum=48.2%,0.0
2023-04-04,SELL,GWW,639.5,below_50ma,-59.77
2023-04-04,BUY,ACGL,64.56,momentum=50.8%,0.0
2023-04-05,SELL,FIX,130.14,trailing_stop,-247.28
2023-04-05,BUY,MPC,124.42,momentum=54.6%,0.0
2023-04-19,SELL,MPC,118.5,below_50ma,-539.2
2023-04-19,BUY,LVS,56.38,momentum=44.2%,0.0
2023-04-26,SELL,CDNS,203.61,below_50ma,471.28
2023-04-26,SELL,FSLR,199.51,below_50ma,-553.52
2023-04-26,BUY,GE,75.58,momentum=48.7%,0.0
2023-04-26,BUY,ANET,38.99,momentum=41.4%,0.0
